продукт сладость хруст класс
Яблоко 7 7 Фрукт
Салат 2 5 Овощ
Бекон 1 2 Протеин
Банан 9 1 Фрукт
Орехи 1 5 Протеин
Рыба 1 1 Протеин
Сыр 1 1 Протеин
Виноград 8 1 Фрукт
Морковь 2 8 Овощ
Апельсин 6 1 Фрукт
Груша 8 2 Фрукт
Персик 9 1 Фрукт
Огурец 2 7 Овощ
Помидор 3 4 Овощ
Кабачок 2 5 Овощ
Курица 1 3 Протеин
Говядина 1 2 Протеин
Хлеб 2 5 Зерновые
Рис 1 2 Зерновые
Гречка 1 4 Зерновые
Овсянка 1 3 Зерновые
Макароны 1 1 Зерновые
Ананас 8 3 Фрукт
Киви 6 4 Фрукт
Манго 10 2 Фрукт
Арбуз 9 8 Фрукт
Вишня 7 2 Фрукт
Лимон 2 1 Фрукт
Клубника 8 2 Фрукт
Брокколи 1 8 Овощ
Перец_болгарский 4 6 Овощ
Редис 2 7 Овощ
Тыква 6 3 Овощ
Сельдерей 1 9 Овощ
Капуста 2 7 Овощ
Тофу 1 2 Протеин
Яйца 1 1 Протеин
Творог 2 1 Протеин
Индейка 1 3 Протеин
Свинина 1 2 Протеин
Креветки 2 2 Протеин
Пшено 1 5 Зерновые
Кукурузная_каша 1 3 Зерновые
Мюсли 3 4 Зерновые
Киноа 1 2 Зерновые
Овсяные_хлопья 2 4 Зерновые
